Nombre,Tipo,Piezas,Precio
Arrolladitos amarillos,Bocadillos rappi,5,55
Arrolladitos blancos,Bocadillos rappi,5,65
Bizcocho ingles,Panaderia rappi,1,190
Cajeta 3 leches 15p,Pasteles rappi,1,260
Cebada,Bebidas rappi,1,25
Cheescake americano,Cheescake rappi,1,320
Cheescake cajeta,Cheescake rappi,1,330
Cheescake de la abuela,Cheescake rappi,1,300
Cheescake marmoleado,Cheescake rappi,1,310
Chocolate helado amargo 15p,Pasteles rappi,1,230
Crema de coco 15p,Pasteles rappi,1,250
Cremoso chocolate dulce 15p,Pasteles rappi,1,240
Fresa 15p,Pasteles rappi,1,290
Fudge 20p,Pasteles rappi,1,370
Fudge marshmallow 15p,Pasteles rappi,1,250
Glorias de la casa,Bocadillos rappi,5,55
Medio sandwichon,Bocadillos rappi,1,205
Mini pan de muerto nutella,Temporada rappi,1,30
Mini pan de muerto queso crema,Temporada rappi,1,30
Mini pan de muerto,Temporada rappi,1,25
Negra,Bebidas rappi,1,25
Pan queso de bola,Panaderia rappi,1,240
Pan Zanahoria (Rosca) 20p,Pasteles rappi,1,260
Paquete bolitas queso de bola,Bocadillos rappi,5,75
Paquete bolitas queso,Bocadillos rappi,10,85
Paquete brownies,Bocadillos rappi,8,85
Paquete cheescake brownie chocolate,Panaderia rappi,6,140
Paquete cheescake brownie dulce de leche,Panaderia rappi,6,140
Paquete cupcake brioche nutella,Panaderia rappi,6,110
Paquete cupcake brioche,Panaderia rappi,6,110
Paquete cupcake queso de bola,Panaderia rappi,6,130
Paquete cupcakes surtido brioche,Bocadillos rappi,6,140
Paquete hojaldra 10,Bocadillos rappi,10,120
Paquete minipan de muerto queso crema,Temporada rappi,6,100
Paquete orejitas,Panaderia rappi,22,70
Paquete roles canela,Bocadillos rappi,8,90
Paquete trenzas suizas,Panaderia rappi,3,75
Pay coco,Pays rappi,1,210
Pay guayaba con queso,Pays rappi,1,200
Pay limon,Pays rappi,1,200
Pay manzana,Pays rappi,1,235
Queso de bola 15p,Pasteles rappi,1,310
Rebanada cajeta con tres leches,Rebanadas rappi,1,60
Rebanada cheescake americano,Rebanadas rappi,1,55
Rebanada cheescake cajeta,Rebanadas rappi,1,65
Rebanada cheescake de la abuela,Rebanadas rappi,1,55
Rebanada cheescake marmoleado,Rebanadas rappi,1,65
Rebanada de chocolate helado,Rebanadas rappi,1,55
Rebanada de crema de coco,Rebanadas rappi,1,55
Rebanada de cremoso chocolate,Rebanadas rappi,1,50
Rebanada de fresa,Rebanadas rappi,1,60
Rebanada de fudge marshmallow,Rebanadas rappi,1,55
Rebanada de fugde,Rebanadas rappi,1,55
Rebanada marquesita,Rebanadas rappi,1,60
Rebanada pan queso de bola,Rebanadas rappi,1,55
Rebanada pastel zanahoria,Rebanadas rappi,1,65
Rebanada pay de coco,Rebanadas rappi,1,50
Rebanada pay queso,Rebanadas rappi,1,50
Rebanada queso de bola,Rebanadas rappi,1,60
Rebanada tres leches,Rebanadas rappi,1,50
Rosca brioche,Panaderia rappi,1,190
Sandwichon,Bocadillos rappi,1,340
Tres leches 15p,Pasteles rappi,1,235
Yucapay,Pays rappi,1,205
